publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p775500,earthquake,2023-10-14T22:26:43.819Z,2023-10-20T02:03:27.784Z,171.0200653,-43.6862793,2.912167711,4.135977268,MLv,,LOCSAT,confirmed,manual,iasp91,17,12,6,0.03745444119,75.28010559,0.3264828183,0.1395407728
2023p775353,earthquake,2023-10-14T21:08:06.520Z,2023-10-14T21:11:03.020Z,173.2567291,-41.77137375,2.479786826,61.97547913,MLv,,LOCSAT,confirmed,manual,iasp91,24,13,7,0.263112247,105.3066101,0.399759429,0.3481554698
2023p775283,earthquake,2023-10-14T20:30:57.057Z,2023-10-20T03:22:47.250Z,171.0121613,-43.68942642,3.745284073,4.062788963,MLv,,LOCSAT,confirmed,manual,iasp91,33,22,19,0.03934983537,82.47939301,0.2753229711,0.1958972628
2023p773906,earthquake,2023-10-14T08:17:27.367Z,2023-10-20T01:42:22.321Z,171.0957642,-43.71185684,2.781265416,3.770415306,MLv,,LOCSAT,confirmed,manual,iasp91,26,20,4,0.0305072125,44.95962524,0.4143156966,0.2977719244
2023p773164,earthquake,2023-10-14T01:42:18.386Z,2023-10-14T01:45:21.062Z,173.2306061,-41.35853195,2.248844627,68.79957581,MLv,,LOCSAT,confirmed,manual,iasp91,20,10,5,0.1804219037,70.70219421,0.4596609143,0.3238208508
2023p772207,earthquake,2023-10-13T17:12:09.049Z,2023-10-17T01:38:22.180Z,167.4051361,-45.11891556,2.961626944,99.93652344,MLv,,LOCSAT,confirmed,manual,iasp91,26,16,6,0.3712542355,192.8323288,0.6613380199,0.194590366
2023p771922,earthquake,2023-10-13T14:40:28.419Z,2023-10-13T14:56:21.519Z,171.0834656,-43.68160248,2.423259661,6.698201656,MLv,,LOCSAT,confirmed,manual,iasp91,23,17,7,0.03936472535,85.83859253,0.4414883377,0.1922130079
2023p771169,earthquake,2023-10-13T07:59:10.845Z,2023-10-17T02:14:36.029Z,173.4259796,-40.78898239,2.786662524,75.38941193,MLv,,LOCSAT,confirmed,manual,iasp91,29,22,17,0.3765311837,84.03969002,0.4450246755,0.1407096249
2023p770443,earthquake,2023-10-13T01:32:03.205Z,2023-10-17T02:39:27.377Z,171.5078735,-43.01372528,3.239334672,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,36,28,18,0.07824120671,45.53192139,0.400480768,0.1233744792
2023p769902,earthquake,2023-10-12T20:44:14.160Z,2023-10-13T00:28:24.246Z,171.5802917,-42.86840439,2.17240027,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,15,2,0.08102927357,60.09848213,0.5468536432,0.3808734395
